Name,handle,verified,url,url_redirect,whois_country,user_claimed_country,twitter_verified_country,followers
Buy Ivermectin In Australia | Online Pharmacy,@ivermectin_aus,NO,https://t.co/Pz9wAH0IyI,https://ivermectinuk.com/product/buy-ivermectin-for-humans/,Unknown (Privacy Protected),Australia,,45
Medicine24h | Online Ivermectin Store In USA,@medicine24h,NO,https://t.co/1Jy2gCt6KM,https://www.medicine24h.com,Unknown (Privacy Protected),India,,42
GETIVERMECTINS.COM | BUY IVERMECTIN | FENBENDAZOLE,@blazingshadow,NO,https://t.co/6Zb3quiVQl,,N/A,,,39
Ivermectin | Ivermectin & Cancer cure store,@DrugsAtDoorstep,NO,https://t.co/PZozZo1fc7,http://drugsatdoorstep.com,Unknown (Privacy Protected),India,India,37
ivermectin supplier,@buyivermec,NO,,,N/A,,South Asia,36
IVERMECTIN FOR COVID,@ivermectin_0,NO,,https://www.medicine24h.com,Unknown (Privacy Protected),India,,33
Online Medicine Store Globally | Ivermectin | HCQS,@bestmedicures,NO,https://t.co/6vot1WypGf,http://Bestmedicures.com,Unknown (Privacy Protected),Germany,Germany,32
Cheap Ivermectin,@CheapIvermectin,NO,https://t.co/VcFcYKXayI,,N/A,,,31
ivermectin24.store,@ivermectin0,NO,https://t.co/iLX2Ybjm13,http://ivermectin24.store,IS,United States,,27
Online Pharmacy Store in USA | Ivermectin | HCQS,@shopmedcartt,NO,https://t.co/Swpgwuuwc6,https://t.me/trenbolone_acetate_store,N/A,United States,,25
Ziverdokit | Ivermectin | Doxycycline,@buyziverdokit1,NO,https://t.co/dUiyKzhKgs,https://www.1ivermectin.store/,Unknown (Privacy Protected),united states,,20
MedicineKart | Online Ivermectin | HCQS | Store,@KartMedicine,NO,https://t.co/KH1sS6WXrZ,http://www.medicinekart.store,Unknown (Privacy Protected),India,,19
Ivermectin_For_Humans,@_Robin_18,NO,https://t.co/MlUpNBLegO,https://ivermectindosageforhumans.com/,IS,San Fransisco,,19
SHOP IVERMECTIN,@SIvermectin,NO,https://t.co/ZYpXcc5r6h,https://www.themedicinekart.com/,AU,USA,India,17
BUY IVERMECTIN | FENBENDAZOLE | MEBENDAZOLE,@buyivermectinn,NO,https://t.co/fm6gjd4eTN,http://www.shopmedcart.com,Unknown (Privacy Protected),,India,15
Online Pharmacy Store in USA Ivermectin | HCQS,@MedicineVilla45,NO,https://t.co/nOvu94v1ly,https://t.me/cloud_exotic_dispensary,N/A,"Denver, CO",,12
Online Generic Medicine Store | Ivermectin & HCQS,@RxMed4care,NO,https://t.co/smyAHG47U6,https://rxmed.store/,IN,United States,,11
Ivermectin Shop,@getsivermectin,NO,https://t.co/xryk3gxRcB,https://buyivermectin4humans.us/,Unknown (Privacy Protected),USA,,10
Ivermectin Cart,@IVM_Store_,NO,https://t.co/t6zL74DirF,http://ivermectinuk.com,Unknown (Privacy Protected),UK,,9
IvermectinKart | Ivermectin & Cancer cure store,@Ivermectinkart_,NO,https://t.co/6vPspvybEs,http://www.ivermectinkart.com/,US,United States,India,8
Ivermectin Seller,@Ivermectinselle,NO,https://t.co/7qEjCQ5G3q,https://genericmate.com/,Russia,United States,,8
MedsNearme|Cancer Ivermectin Cure Online Pharmacy,@MedsNearme,NO,https://t.co/9mDTap6eu9,https://www.medsnest.com/,IN,,India,5
1 IVERMECTIN | Ziverdokit,@StoreIvermectin,NO,https://t.co/MeOvi4XCgO,https://www.1ivermectin.store/,Unknown (Privacy Protected),India,,3
Wellness against cancer,@ivermectin_tabs,NO,https://t.co/WsqozsjylD,https://www.ivermectin24hr.com,Unknown (Privacy Protected),"Downey, CA",South Africa,2
ZK Store | Buy Ivermectin | HCQS | Z Pack Online,@Ziverdostore,NO,https://t.co/9iK3I4HzB6,http://www.ziverdokitstore.com,Unknown (Privacy Protected),"Mumbai, India",,1
Ivermectin 12mg Online Sale,@Iver_12MG,NO,https://t.co/eFFCCB11fu,http://www.yourmedcart.store,Unknown (Privacy Protected),India,India,1
"Ivermectin's | Ivermectin, Cancer & Skincare Store",@Ivermectin97916,NO,https://t.co/NIrl8jxf2U,http://ivermectins.com,Unknown (Privacy Protected),United States,,0
Ivermectin Seller,@ivermectin66_,NO,https://t.co/m0IpNQJEE8,http://drugsatdoorstep.com,Unknown (Privacy Protected),India,,0
